index,title,description,difficulty,certificate_available,students,price,rating,reviews_count,source,course
advanced-dax-r/,Расширенный\Advanced DAX для бизнес-пользователей,Углубленное владение расширенными вычислениями на DAX,Начальный,True,59 студента,5390.0,"5,0",11,udemy,Обработка и анализ данных
ai-machinelearning-ru/,Искусственный интеллект и Машинное обучение + Основы Python,"Научитесь понимать технологии ИИ, Машинное обучение и Нейронные Сети, а также основы Программирования на Python",Начальный,True,2 123 студента,6090.0,"4,5",481,udemy,Обработка и анализ данных
data-integration-guide/,Data Integration Guide,Learn how data can be integrated : following which principles and for what business outcomes,Все уровни,True,21 585 студента,5390.0,"4,4",8761,udemy,Обработка и анализ данных
tensorflow-developer-certificate-machine-learning-zero-to-mastery/,TensorFlow for Deep Learning Bootcamp,"Learn TensorFlow by Google. Become an AI, Machine Learning, and Deep Learning expert!",Все уровни,True,86 328 студента,5390.0,"4,7",12374,udemy,Обработка и анализ данных
agentic-ai-private-agentic-rag-with-langgraph-and-ollama/,Agentic AI - Private Agentic RAG with LangGraph and Ollama,"LangGraph v1, Ollama, Agentic RAG, Private RAG, Corrective RAG, CRAG, Reflexion, Self-RAG, Adaptive RAG, MySQL Agent",Начальный,True,521 студент,5390.0,"4,9",46,udemy,Обработка и анализ данных
complete-tensorflow-2-and-keras-deep-learning-bootcamp/,Complete Tensorflow 2 and Keras Deep Learning Bootcamp,Learn to use Python for Deep Learning with Google's latest Tensorflow 2 library and Keras!,Все уровни,True,55 200 студента,13990.0,"4,7",8837,udemy,Обработка и анализ данных
powerbi-hero/,PowerBI Zero to Hero,A practical guide to building Dashboards with Power BI,Начальный,True,81 668 студента,5390.0,"4,5",11216,udemy,Обработка и анализ данных
data-science-natural-language-processing-in-python/,Data Science: Natural Language Processing (NLP) in Python,"Applications: decrypting ciphers, spam detection, sentiment analysis, article spinners, and latent semantic analysis.",Все уровни,True,52 413 студента,6190.0,"4,7",12907,udemy,Обработка и анализ данных
natural-language-processing-with-deep-learning-in-python/,Natural Language Processing with Deep Learning in Python,"Complete guide on deriving and implementing word2vec, GloVe, word embeddings, and sentiment analysis with recursive nets",Профессиональный,True,52 415 студента,7690.0,"4,7",8582,udemy,Обработка и анализ данных
mlops-,MLOps Fundamentals - Learn MLOps Concepts with Azure demo,"Learn MLOps basics of Continuous Integration, Delivery using Azure DevOps and Azure ML. Create MLOps pipeline in Azure.",Все уровни,True,27 772 студента,5390.0,"4,5",9279,udemy,Обработка и анализ данных
complete-dbt-data-build-tool-bootcamp-zero-to-hero-learn-dbt/,The Complete dbt (Data Build Tool) Bootcamp: Zero to Hero,Become a dbt professional with this ALL-IN-ONE COURSE covering both theory and practice through a real-world project!,Все уровни,True,58 261 студент,5390.0,"4,6",9864,udemy,Обработка и анализ данных
interactive-python-dashboards-with-plotly-and-dash/,Interactive Python Dashboards with Plotly and Dash,"Learn how to create interactive plots and intelligent dashboards with Plotly, Python, and the Dash library!",Средний,True,51 181 студент,7190.0,"4,5",9115,udemy,Обработка и анализ данных
python-machine-learning-data-science-russian/,Машинное обучение в Python: Machine Learning & Data Science,"Изучите NumPy, Pandas, Matplotlib, Seaborn, Scikit-Learn и многое другое! Осваивайте Искусственный Интеллект на практике",Начальный,True,4 455 студента,5390.0,"4,7",800,udemy,Обработка и анализ данных
dp900-azure/,DP-900 Azure Data Fundamentals Exam Prep In One Day,Learn the basics of Azure database services and get certified with this complete DP-900 course!,Начальный,True,66 552 студента,5690.0,"4,6",13492,udemy,Обработка и анализ данных
r-analytics/,R Programming: Advanced Analytics In R For Data Science,"Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2",Средний,True,63 106 студента,6190.0,"4,7",9151,udemy,Обработка и анализ данных
azure-machine-learning-mlops-mg/,Azure Machine Learning &  MLOps : Beginner to Advance,The most compressive  course covering MLOps and machine learning on Azure | Zero to Hero,Все уровни,True,27 767 студента,5390.0,"4,4",8458,udemy,Обработка и анализ данных
data-statistics/,Statistics for Business Analytics and Data Science A-Z™,"Learn The Core Stats For A Data Science Career. Master Statistical Significance, Confidence Intervals And Much More!",Все уровни,True,69 638 студента,7390.0,"4,6",12682,udemy,Обработка и анализ данных
ai-content-generation/,Master Generative AI: Automate Content Effortlessly with AI,"Automate Text, Image, Audio, and Video Generation: ChatGPT, Stable Diffusion XL, DALLE-3, Midjourney, GPT-4, Perplexity!",Начальный,True,25 752 студента,5390.0,"4,6",6811,udemy,Обработка и анализ данных
computer-vision-a-z/,Deep Learning and Computer Vision A-Z + Prizes,Become a Wizard of all the latest Computer Vision tools that exist out there. Detect anything and create powerful apps.,Все уровни,True,51 026 студента,5690.0,"4,4",6822,udemy,Обработка и анализ данных
natural-language-processing-in-python/,[2026] Machine Learning: Natural Language Processing (V2),"NLP: Use Markov Models, NLTK, Agentic AI, Artificial Intelligence, Machine Learning, and Data Science in Python",Все уровни,True,26 518 студента,5390.0,"4,8",7035,udemy,Обработка и анализ данных
machine-learning-data-science-foundations-masterclass/,Mathematical Foundations of Machine Learning,"Essential Linear Algebra and Calculus Hands-On in NumPy, TensorFlow, and PyTorch",Все уровни,True,138 949 студента,6090.0,"4,6",8021,udemy,Обработка и анализ данных
deep-learning-advanced-nlp/,Deep Learning: Advanced Natural Language Processing and RNNs,"Natural Language Processing (NLP) with Sequence-to-sequence (seq2seq), Attention, CNNs, RNNs, and Memory Networks!",Все уровни,True,41 140 студента,8090.0,"4,5",7301,udemy,Обработка и анализ данных
a-crash-course-in-pyspark/,A Crash Course In PySpark,Learn all the fundamentals of PySpark,Начальный,True,37 048 студента,5390.0,"4,5",7832,udemy,Обработка и анализ данных
